datetime,date,hour,ward_id,ward_name,units_observed,bins_compromised,raccoon_confidence_level,average_unit_weight_kg,incidents_of_raccoon_human_standoff,avg_standoff_duration_sec,proximity_to_a_patio,complaints_logged
"January 1, 2024","January 1, 2024",1,17,Don Valley North,13,9,8.4,5.38,1,31,0,1
"January 1, 2024","January 1, 2024",1,18,Willowdale,12,8,6.9,5.56,1,22,0,2
"January 1, 2024","January 1, 2024",1,19,Beaches-East York,14,12,10,5.29,3,28,0,2
"January 1, 2024","January 1, 2024",1,20,Scarborough Southwest,13,7,10,5.94,0,0,0,1
"January 1, 2024","January 1, 2024",1,21,Scarborough Centre,10,8,8.8,5.83,0,0,0,2
"January 1, 2024","January 1, 2024",1,22,Scarborough-Agincourt,14,10,10,6.68,0,0,0,0
"January 1, 2024","January 1, 2024",1,23,Scarborough North,13,11,8.4,4.92,3,17,0,1
"January 1, 2024","January 1, 2024",1,24,Scarborough-Guildwood,9,7,8.2,5.32,3,25,0,2
"January 1, 2024","January 1, 2024",1,25,Scarborough-Rouge Park,13,7,8.4,5.72,1,24,0,1
"January 1, 2024","January 1, 2024",2,1,Etobicoke North,11,11,9.4,5.5,1,31,0,1
"January 1, 2024","January 1, 2024",2,2,Etobicoke Centre,14,9,7.6,5.97,2,22,0,2
"January 1, 2024","January 1, 2024",2,3,Etobicoke-Lakeshore,13,11,9.4,5.16,2,22,0,2
"January 1, 2024","January 1, 2024",2,4,Parkdale-High Park,19,15,10,7.29,4,25,0,2
"January 1, 2024","January 1, 2024",2,5,York South-Weston,11,6,7.5,5.77,1,20,0,2
"January 1, 2024","January 1, 2024",2,6,York Centre,11,8,6.5,5.38,3,23,0,2
"January 1, 2024","January 1, 2024",2,7,Humber River-Black Creek,11,9,10,5.27,3,25,0,2
"January 1, 2024","January 1, 2024",2,8,Eglinton-Lawrence,11,10,8,4.89,2,20,0,1
"January 1, 2024","January 1, 2024",2,9,Davenport,16,12,7.4,5.98,3,27,0,2
"January 1, 2024","January 1, 2024",2,10,Spadina-Fort York,15,10,9.2,6.14,1,23,0,2
"January 1, 2024","January 1, 2024",2,11,University-Rosedale,19,14,10,6.52,3,22,0,3
"January 1, 2024","January 1, 2024",2,12,Toronto-St. Paul's,12,9,10,5.15,2,26,0,1
"January 1, 2024","January 1, 2024",2,13,Toronto Centre,22,9,10,6.15,4,25,0,2
"January 1, 2024","January 1, 2024",2,14,Toronto-Danforth,15,13,10,4.76,3,16,0,1
"January 1, 2024","January 1, 2024",2,15,Don Valley West,10,6,9.9,5.08,2,29,0,1
"January 1, 2024","January 1, 2024",2,16,Don Valley East,12,10,6.2,5.14,2,26,0,1
"January 1, 2024","January 1, 2024",2,17,Don Valley North,13,7,7,5.26,2,22,0,2
"January 1, 2024","January 1, 2024",2,18,Willowdale,12,8,7.7,5.71,3,22,0,1
"January 1, 2024","January 1, 2024",2,19,Beaches-East York,18,12,9.3,5.93,1,20,0,1
"January 1, 2024","January 1, 2024",2,20,Scarborough Southwest,10,10,5.6,5.55,2,25,0,2
"January 1, 2024","January 1, 2024",2,21,Scarborough Centre,11,5,5.4,6.08,1,20,0,2
"January 1, 2024","January 1, 2024",2,22,Scarborough-Agincourt,11,8,8.2,5.13,3,25,0,1
"January 1, 2024","January 1, 2024",2,23,Scarborough North,14,8,7.7,5.5,1,29,0,1
"January 1, 2024","January 1, 2024",2,24,Scarborough-Guildwood,13,9,9.5,6.16,2,29,0,1
"January 1, 2024","January 1, 2024",2,25,Scarborough-Rouge Park,13,7,8,4.47,2,28,0,1
"January 1, 2024","January 1, 2024",3,1,Etobicoke North,10,10,8,4.99,1,18,0,1
"January 1, 2024","January 1, 2024",3,2,Etobicoke Centre,14,8,9,5.64,3,22,0,1
"January 1, 2024","January 1, 2024",3,3,Etobicoke-Lakeshore,15,9,6.7,6.09,3,20,0,2
"January 1, 2024","January 1, 2024",3,4,Parkdale-High Park,25,12,10,6.01,3,30,0,2
"January 1, 2024","January 1, 2024",3,5,York South-Weston,15,8,7.3,5.29,1,27,0,2
"January 1, 2024","January 1, 2024",3,6,York Centre,10,7,10,6.79,2,23,0,1
"January 1, 2024","January 1, 2024",3,7,Humber River-Black Creek,16,7,7.9,6.25,1,30,0,1
"January 1, 2024","January 1, 2024",3,8,Eglinton-Lawrence,7,6,7.5,4.98,2,22,0,2
"January 1, 2024","January 1, 2024",3,9,Davenport,17,10,10,4.87,3,34,0,2
"January 1, 2024","January 1, 2024",3,10,Spadina-Fort York,16,10,10,5.42,1,26,0,2
"January 1, 2024","January 1, 2024",3,11,University-Rosedale,17,14,10,6.09,5,33,0,2
"January 1, 2024","January 1, 2024",3,12,Toronto-St. Paul's,14,7,10,5.69,3,20,0,1
"January 1, 2024","January 1, 2024",3,13,Toronto Centre,18,11,8.8,4.7,3,26,0,2
"January 1, 2024","January 1, 2024",3,14,Toronto-Danforth,18,12,10,5.47,2,26,0,2
"January 1, 2024","January 1, 2024",3,15,Don Valley West,12,8,6.6,5.6,2,23,0,0
"January 1, 2024","January 1, 2024",3,16,Don Valley East,12,8,8.5,5.98,1,29,0,1
"January 1, 2024","January 1, 2024",3,17,Don Valley North,12,8,8.8,5.75,2,25,0,1
"January 1, 2024","January 1, 2024",3,18,Willowdale,11,8,10,5.48,2,30,0,1
"January 1, 2024","January 1, 2024",3,19,Beaches-East York,16,12,8.7,5.09,3,26,0,2
"January 1, 2024","January 1, 2024",3,20,Scarborough Southwest,13,8,8.8,5.05,3,27,0,1
"January 1, 2024","January 1, 2024",3,21,Scarborough Centre,12,7,7.4,5.9,2,17,0,1
"January 1, 2024","January 1, 2024",3,22,Scarborough-Agincourt,13,7,6,5.51,0,0,0,2
"January 1, 2024","January 1, 2024",3,23,Scarborough North,7,8,6.2,5.03,2,22,0,2
"January 1, 2024","January 1, 2024",3,24,Scarborough-Guildwood,14,8,7.1,5.71,2,22,0,1
"January 1, 2024","January 1, 2024",3,25,Scarborough-Rouge Park,10,8,8.3,6.53,2,20,0,0
"January 1, 2024","January 1, 2024",4,1,Etobicoke North,0,2,1,4.86,0,0,0,0
"January 1, 2024","January 1, 2024",4,2,Etobicoke Centre,3,0,1,5.71,0,0,0,0
"January 1, 2024","January 1, 2024",4,3,Etobicoke-Lakeshore,1,2,1,5.61,0,0,0,0
"January 1, 2024","January 1, 2024",4,4,Parkdale-High Park,6,4,2,5.67,0,0,0,0
"January 1, 2024","January 1, 2024",4,5,York South-Weston,3,1,2.7,6.89,1,11,0,2
"January 1, 2024","January 1, 2024",4,6,York Centre,3,0,1,5.18,1,7,0,0
"January 1, 2024","January 1, 2024",4,7,Humber River-Black Creek,1,2,1,4.87,0,0,0,0
"January 1, 2024","January 1, 2024",4,8,Eglinton-Lawrence,0,0,2.8,5.03,0,0,0,0
"January 1, 2024","January 1, 2024",4,9,Davenport,1,1,6.3,6.05,0,0,0,0
"January 1, 2024","January 1, 2024",4,10,Spadina-Fort York,6,0,6.3,5.13,1,21,0,0
"January 1, 2024","January 1, 2024",4,11,University-Rosedale,1,2,3.1,6.37,0,0,0,0
"January 1, 2024","January 1, 2024",4,12,Toronto-St. Paul's,3,0,1,5.18,0,0,0,1
"January 1, 2024","January 1, 2024",4,13,Toronto Centre,5,5,1.1,5.48,1,11,0,0
"January 1, 2024","January 1, 2024",4,14,Toronto-Danforth,4,5,2.1,5.51,0,0,0,0
"January 1, 2024","January 1, 2024",4,15,Don Valley West,3,1,1,5.43,1,13,0,0
"January 1, 2024","January 1, 2024",4,16,Don Valley East,0,1,3.4,5.26,1,15,0,1
"January 1, 2024","January 1, 2024",4,17,Don Valley North,2,0,3.7,4.49,0,0,0,0
"January 1, 2024","January 1, 2024",4,18,Willowdale,0,0,1,5.26,0,0,0,0
"January 1, 2024","January 1, 2024",4,19,Beaches-East York,4,0,1.3,5.21,0,0,0,1
"January 1, 2024","January 1, 2024",4,20,Scarborough Southwest,2,0,1,5.63,0,0,0,0
"January 1, 2024","January 1, 2024",4,21,Scarborough Centre,4,2,1,5.03,0,0,0,0
"January 1, 2024","January 1, 2024",4,22,Scarborough-Agincourt,3,3,2,4.58,0,0,0,0
"January 1, 2024","January 1, 2024",4,23,Scarborough North,1,0,1.2,5.49,0,0,0,0
"January 1, 2024","January 1, 2024",4,24,Scarborough-Guildwood,0,0,2.4,5.11,1,9,0,0
"January 1, 2024","January 1, 2024",4,25,Scarborough-Rouge Park,0,0,1,5.96,0,0,0,0
"January 1, 2024","January 1, 2024",5,1,Etobicoke North,0,1,3.8,5.95,2,17,0,0
"January 1, 2024","January 1, 2024",5,2,Etobicoke Centre,0,3,3,6.05,0,0,0,0
"January 1, 2024","January 1, 2024",5,3,Etobicoke-Lakeshore,4,4,2.7,5.52,1,19,0,0
"January 1, 2024","January 1, 2024",5,4,Parkdale-High Park,2,1,3.1,6.13,1,17,0,1
"January 1, 2024","January 1, 2024",5,5,York South-Weston,6,2,3.1,5.59,1,17,0,0
"January 1, 2024","January 1, 2024",5,6,York Centre,4,0,2.6,6.14,0,0,0,0
"January 1, 2024","January 1, 2024",5,7,Humber River-Black Creek,4,0,1.5,6.76,0,0,0,0
"January 1, 2024","January 1, 2024",5,8,Eglinton-Lawrence,2,1,1,5.26,1,19,0,0
"January 1, 2024","January 1, 2024",5,9,Davenport,5,2,4.4,5.37,0,0,0,0
"January 1, 2024","January 1, 2024",5,10,Spadina-Fort York,1,0,2.1,5.48,1,12,0,0
"January 1, 2024","January 1, 2024",5,11,University-Rosedale,0,1,1.2,4.98,0,0,0,0
"January 1, 2024","January 1, 2024",5,12,Toronto-St. Paul's,3,0,1,5.19,0,0,0,0
"January 1, 2024","January 1, 2024",5,13,Toronto Centre,4,1,1.3,6.72,0,0,0,0
"January 1, 2024","January 1, 2024",5,14,Toronto-Danforth,2,1,1,5.54,0,0,0,0
"January 1, 2024","January 1, 2024",5,15,Don Valley West,3,0,2.6,4.67,0,0,0,0
"January 1, 2024","January 1, 2024",5,16,Don Valley East,0,1,5,5.35,0,0,0,1
"January 1, 2024","January 1, 2024",5,17,Don Valley North,2,1,1,6.39,1,7,0,0
"January 1, 2024","January 1, 2024",5,18,Willowdale,3,0,1,6.23,0,0,0,0
"January 1, 2024","January 1, 2024",5,19,Beaches-East York,3,5,2.6,4.48,0,0,0,0
"January 1, 2024","January 1, 2024",5,20,Scarborough Southwest,5,3,1,5.4,1,20,0,0
"January 1, 2024","January 1, 2024",5,21,Scarborough Centre,4,3,4.6,6.32,1,15,0,0
"January 1, 2024","January 1, 2024",5,22,Scarborough-Agincourt,1,3,1,5.58,0,0,0,0
"January 1, 2024","January 1, 2024",5,23,Scarborough North,0,0,1.6,5.75,0,0,0,0
"January 1, 2024","January 1, 2024",5,24,Scarborough-Guildwood,0,4,1,6.34,1,10,0,0
"January 1, 2024","January 1, 2024",5,25,Scarborough-Rouge Park,0,2,1.9,5.88,0,0,0,0
"January 1, 2024","January 1, 2024",6,1,Etobicoke North,0,0,1.2,5.53,0,0,0,0
"January 1, 2024","January 1, 2024",6,2,Etobicoke Centre,3,3,4.3,6.03,0,0,0,0
"January 1, 2024","January 1, 2024",6,3,Etobicoke-Lakeshore,2,1,4.1,6.71,2,19,0,0
"January 1, 2024","January 1, 2024",6,4,Parkdale-High Park,7,3,3.9,5.85,0,0,0,0
"January 1, 2024","January 1, 2024",6,5,York South-Weston,2,1,3.1,5.69,0,0,0,0
"January 1, 2024","January 1, 2024",6,6,York Centre,4,1,1,5.73,0,0,0,0
"January 1, 2024","January 1, 2024",6,7,Humber River-Black Creek,0,2,1.3,5.85,0,0,0,0
"January 1, 2024","January 1, 2024",6,8,Eglinton-Lawrence,1,2,1.4,5,0,0,0,0
"January 1, 2024","January 1, 2024",6,9,Davenport,4,2,1.8,6.48,1,15,0,0
"January 1, 2024","January 1, 2024",6,10,Spadina-Fort York,2,0,1,7.45,0,0,0,0
"January 1, 2024","January 1, 2024",6,11,University-Rosedale,1,2,1.4,4.72,0,0,0,0
"January 1, 2024","January 1, 2024",6,12,Toronto-St. Paul's,4,0,1,5.73,0,0,0,0
"January 1, 2024","January 1, 2024",6,13,Toronto Centre,4,2,1,6.15,0,0,0,0
"January 1, 2024","January 1, 2024",6,14,Toronto-Danforth,5,2,2.7,5.57,1,17,0,0
"January 1, 2024","January 1, 2024",6,15,Don Valley West,0,0,1,5.45,0,0,0,0
"January 1, 2024","January 1, 2024",6,16,Don Valley East,0,1,1,5.31,0,0,0,0
"January 1, 2024","January 1, 2024",6,17,Don Valley North,5,0,1,5.36,0,0,0,0
"January 1, 2024","January 1, 2024",6,18,Willowdale,5,0,3.8,4.63,0,0,0,0
"January 1, 2024","January 1, 2024",6,19,Beaches-East York,6,3,1,5.63,0,0,0,0
"January 1, 2024","January 1, 2024",6,20,Scarborough Southwest,2,1,2.6,5.45,0,0,0,0
"January 1, 2024","January 1, 2024",6,21,Scarborough Centre,2,3,1,5.33,0,0,0,0
"January 1, 2024","January 1, 2024",6,22,Scarborough-Agincourt,0,1,1,5.12,0,0,0,0
"January 1, 2024","January 1, 2024",6,23,Scarborough North,3,2,1,5.77,0,0,0,0
"January 1, 2024","January 1, 2024",6,24,Scarborough-Guildwood,0,1,1,5.24,0,0,0,0
"January 1, 2024","January 1, 2024",6,25,Scarborough-Rouge Park,1,1,1,5.16,0,0,0,0
"January 1, 2024","January 1, 2024",7,1,Etobicoke North,4,1,1,4.96,1,13,0,0
"January 1, 2024","January 1, 2024",7,2,Etobicoke Centre,2,2,1.5,6.13,1,16,0,0
"January 1, 2024","January 1, 2024",7,3,Etobicoke-Lakeshore,6,1,1,6.22,0,0,0,0
"January 1, 2024","January 1, 2024",7,4,Parkdale-High Park,1,3,2.8,6.97,0,0,0,0
"January 1, 2024","January 1, 2024",7,5,York South-Weston,0,1,1,5.69,0,0,0,1
"January 1, 2024","January 1, 2024",7,6,York Centre,3,0,1,5.83,0,0,0,0
"January 1, 2024","January 1, 2024",7,7,Humber River-Black Creek,1,0,1,5.19,0,0,0,0
"January 1, 2024","January 1, 2024",7,8,Eglinton-Lawrence,3,2,3.4,6.14,1,15,0,0
"January 1, 2024","January 1, 2024",7,9,Davenport,4,0,2.7,5.36,0,0,0,0
"January 1, 2024","January 1, 2024",7,10,Spadina-Fort York,0,0,1.3,5.41,0,0,0,0
"January 1, 2024","January 1, 2024",7,11,University-Rosedale,2,0,1,6.27,0,0,0,0
"January 1, 2024","January 1, 2024",7,12,Toronto-St. Paul's,3,0,1,5.35,1,12,0,0
"January 1, 2024","January 1, 2024",7,13,Toronto Centre,6,4,2.9,5.52,1,18,0,1
"January 1, 2024","January 1, 2024",7,14,Toronto-Danforth,3,3,3.8,5.15,0,0,0,0
"January 1, 2024","January 1, 2024",7,15,Don Valley West,0,0,3.1,5.2,0,0,0,0
"January 1, 2024","January 1, 2024",7,16,Don Valley East,4,3,1.9,5.77,1,11,0,0
"January 1, 2024","January 1, 2024",7,17,Don Valley North,0,0,1.5,5.61,1,16,0,0
"January 1, 2024","January 1, 2024",7,18,Willowdale,4,2,1.1,6.2,0,0,0,0
"January 1, 2024","January 1, 2024",7,19,Beaches-East York,1,0,2.7,5.83,0,0,0,0
"January 1, 2024","January 1, 2024",7,20,Scarborough Southwest,4,0,4.6,4.92,0,0,0,0
"January 1, 2024","January 1, 2024",7,21,Scarborough Centre,4,2,4.3,5.41,0,0,0,0
"January 1, 2024","January 1, 2024",7,22,Scarborough-Agincourt,0,1,1,6.34,0,0,0,0
"January 1, 2024","January 1, 2024",7,23,Scarborough North,0,0,1,4.93,0,0,0,0
"January 1, 2024","January 1, 2024",7,24,Scarborough-Guildwood,1,2,2.1,5.98,1,15,0,0
"January 1, 2024","January 1, 2024",7,25,Scarborough-Rouge Park,4,4,3.1,6.43,1,9,0,0
"January 1, 2024","January 1, 2024",8,1,Etobicoke North,3,1,1.6,5.28,0,0,0,0
"January 1, 2024","January 1, 2024",8,2,Etobicoke Centre,3,0,1.9,5.26,0,0,0,0
"January 1, 2024","January 1, 2024",8,3,Etobicoke-Lakeshore,0,1,1,5.85,0,0,0,0
"January 1, 2024","January 1, 2024",8,4,Parkdale-High Park,2,2,3.5,5.29,1,28,0,0
"January 1, 2024","January 1, 2024",8,5,York South-Weston,6,0,1.9,5.06,1,13,0,0
"January 1, 2024","January 1, 2024",8,6,York Centre,0,0,1.5,6.46,1,20,0,0
"January 1, 2024","January 1, 2024",8,7,Humber River-Black Creek,3,2,1,5.64,0,0,0,0
"January 1, 2024","January 1, 2024",8,8,Eglinton-Lawrence,2,0,3.2,5.71,1,17,0,0
"January 1, 2024","January 1, 2024",8,9,Davenport,3,2,2.6,7.69,0,0,0,1
"January 1, 2024","January 1, 2024",8,10,Spadina-Fort York,4,0,1,4.86,0,0,0,0
"January 1, 2024","January 1, 2024",8,11,University-Rosedale,3,0,4.2,6.56,0,0,0,0
"January 1, 2024","January 1, 2024",8,12,Toronto-St. Paul's,0,2,2.7,4.95,0,0,0,0
"January 1, 2024","January 1, 2024",8,13,Toronto Centre,5,3,2,5.94,0,0,0,0
"January 1, 2024","January 1, 2024",8,14,Toronto-Danforth,3,2,4.3,5.35,1,18,0,0
"January 1, 2024","January 1, 2024",8,15,Don Valley West,1,0,2.6,5.64,1,14,0,0
"January 1, 2024","January 1, 2024",8,16,Don Valley East,2,1,1,5.48,1,10,0,0
"January 1, 2024","January 1, 2024",8,17,Don Valley North,2,0,1,5.6,0,0,0,0
"January 1, 2024","January 1, 2024",8,18,Willowdale,2,1,1,5.73,0,0,0,0
"January 1, 2024","January 1, 2024",8,19,Beaches-East York,0,0,1,6.19,1,14,0,0
"January 1, 2024","January 1, 2024",8,20,Scarborough Southwest,2,0,4.4,6,0,0,0,0
"January 1, 2024","January 1, 2024",8,21,Scarborough Centre,1,1,5.6,5.96,0,0,0,0
"January 1, 2024","January 1, 2024",8,22,Scarborough-Agincourt,5,1,1.5,5.21,0,0,0,0
"January 1, 2024","January 1, 2024",8,23,Scarborough North,0,0,2.7,6.01,1,19,0,0
"January 1, 2024","January 1, 2024",8,24,Scarborough-Guildwood,0,3,1.2,4.24,0,0,0,0
"January 1, 2024","January 1, 2024",8,25,Scarborough-Rouge Park,0,1,1,4.71,0,0,0,0
"January 1, 2024","January 1, 2024",9,1,Etobicoke North,0,3,2.8,5.32,1,18,0,0
"January 1, 2024","January 1, 2024",9,2,Etobicoke Centre,2,2,2.7,5.19,1,25,0,0
"January 1, 2024","January 1, 2024",9,3,Etobicoke-Lakeshore,0,3,3,4.98,1,7,0,0
"January 1, 2024","January 1, 2024",9,4,Parkdale-High Park,5,4,2.8,5.76,2,13,0,0
"January 1, 2024","January 1, 2024",9,5,York South-Weston,0,0,1,4.97,0,0,0,0
"January 1, 2024","January 1, 2024",9,6,York Centre,2,0,1,4.9,1,15,0,0
"January 1, 2024","January 1, 2024",9,7,Humber River-Black Creek,3,0,1,6.1,0,0,0,0
"January 1, 2024","January 1, 2024",9,8,Eglinton-Lawrence,2,3,1,6.9,0,0,0,0
"January 1, 2024","January 1, 2024",9,9,Davenport,4,1,3.7,5.37,1,19,0,0
"January 1, 2024","January 1, 2024",9,10,Spadina-Fort York,4,1,2.5,4.5,0,0,0,0
"January 1, 2024","January 1, 2024",9,11,University-Rosedale,4,4,1.3,6.03,0,0,0,0
"January 1, 2024","January 1, 2024",9,12,Toronto-St. Paul's,0,3,4,6.35,0,0,0,0
"January 1, 2024","January 1, 2024",9,13,Toronto Centre,6,0,1.3,6.2,0,0,0,0
"January 1, 2024","January 1, 2024",9,14,Toronto-Danforth,6,0,1.8,5.9,0,0,0,0
"January 1, 2024","January 1, 2024",9,15,Don Valley West,2,0,2.4,4.91,1,9,0,0
"January 1, 2024","January 1, 2024",9,16,Don Valley East,2,5,1,6.14,0,0,0,0
"January 1, 2024","January 1, 2024",9,17,Don Valley North,6,2,1,6.45,0,0,0,1
"January 1, 2024","January 1, 2024",9,18,Willowdale,2,0,1.5,6.45,0,0,0,0
"January 1, 2024","January 1, 2024",9,19,Beaches-East York,2,3,1,5.71,1,10,0,0
"January 1, 2024","January 1, 2024",9,20,Scarborough Southwest,3,0,1,4.57,0,0,0,0
"January 1, 2024","January 1, 2024",9,21,Scarborough Centre,0,0,1,5,0,0,0,0
"January 1, 2024","January 1, 2024",9,22,Scarborough-Agincourt,0,0,1.6,5.23,2,15,0,0
"January 1, 2024","January 1, 2024",9,23,Scarborough North,3,0,2.1,5.69,0,0,0,0
"January 1, 2024","January 1, 2024",9,24,Scarborough-Guildwood,0,3,1,6.48,0,0,0,0
"January 1, 2024","January 1, 2024",9,25,Scarborough-Rouge Park,4,1,1,6.16,0,0,0,0
"January 1, 2024","January 1, 2024",10,1,Etobicoke North,4,2,2.7,5.88,0,0,0,0
"January 1, 2024","January 1, 2024",10,2,Etobicoke Centre,1,4,2.4,6.05,0,0,0,0
"January 1, 2024","January 1, 2024",10,3,Etobicoke-Lakeshore,3,0,1,5.61,0,0,0,0
"January 1, 2024","January 1, 2024",10,4,Parkdale-High Park,4,2,4,5.83,0,0,0,0
"January 1, 2024","January 1, 2024",10,5,York South-Weston,1,1,1,5.04,0,0,0,0
"January 1, 2024","January 1, 2024",10,6,York Centre,3,2,1.1,4.59,0,0,0,0
"January 1, 2024","January 1, 2024",10,7,Humber River-Black Creek,2,1,1,5.52,0,0,0,0
"January 1, 2024","January 1, 2024",10,8,Eglinton-Lawrence,2,6,1.1,5.33,1,14,0,0
"January 1, 2024","January 1, 2024",10,9,Davenport,2,4,1,5.99,1,13,0,0
"January 1, 2024","January 1, 2024",10,10,Spadina-Fort York,1,3,1,5.83,0,0,0,0
"January 1, 2024","January 1, 2024",10,11,University-Rosedale,2,4,5.3,7.4,0,0,0,0
"January 1, 2024","January 1, 2024",10,12,Toronto-St. Paul's,5,4,1,5.41,0,0,0,0
"January 1, 2024","January 1, 2024",10,13,Toronto Centre,0,4,4.5,5.66,0,0,0,0
"January 1, 2024","January 1, 2024",10,14,Toronto-Danforth,0,2,1,6.05,0,0,0,0
"January 1, 2024","January 1, 2024",10,15,Don Valley West,0,0,1,5.42,0,0,0,0
"January 1, 2024","January 1, 2024",10,16,Don Valley East,2,0,1.3,5.46,0,0,0,0
"January 1, 2024","January 1, 2024",10,17,Don Valley North,4,1,3.1,6.35,0,0,0,1
"January 1, 2024","January 1, 2024",10,18,Willowdale,3,0,1.5,5.39,0,0,0,0
"January 1, 2024","January 1, 2024",10,19,Beaches-East York,7,4,1,5.64,1,11,0,0
"January 1, 2024","January 1, 2024",10,20,Scarborough Southwest,1,2,1,5.03,0,0,0,0
"January 1, 2024","January 1, 2024",10,21,Scarborough Centre,1,1,3.8,5.85,2,20,0,0
"January 1, 2024","January 1, 2024",10,22,Scarborough-Agincourt,0,3,1,6.11,1,13,0,0
"January 1, 2024","January 1, 2024",10,23,Scarborough North,5,1,1,6.7,0,0,0,0
"January 1, 2024","January 1, 2024",10,24,Scarborough-Guildwood,0,1,3,5.48,0,0,0,0
"January 1, 2024","January 1, 2024",10,25,Scarborough-Rouge Park,2,0,1.7,4.25,0,0,0,0
"January 1, 2024","January 1, 2024",11,1,Etobicoke North,0,0,1,5.64,1,12,0,0
"January 1, 2024","January 1, 2024",11,2,Etobicoke Centre,2,2,1.4,5.33,0,0,0,0
"January 1, 2024","January 1, 2024",11,3,Etobicoke-Lakeshore,1,0,1,6.45,1,16,0,1
"January 1, 2024","January 1, 2024",11,4,Parkdale-High Park,2,2,5.1,6.14,0,0,0,0
"January 1, 2024","January 1, 2024",11,5,York South-Weston,3,1,1,5.92,0,0,0,0
